TaskID,TaskType,ArrivalHour,GPU_Demand,EstimatedDuration_min,SourceRegion,GPUHour
1055,AITraining,2378,113,339,RegionF,638.45
1264,AITraining,2388,113,282,RegionF,531.1
1540,AITraining,2377,98,292,RegionF,476.93333333333334
3782,AITraining,2390,89,346,RegionE,513.2333333333333
6232,RealTimeInference,2389,5,360,RegionA,30.0
6423,RealTimeInference,2377,7,263,RegionA,30.683333333333334
6481,RealTimeInference,2377,6,387,RegionA,38.7
10622,BatchInference,2379,23,334,RegionC,128.03333333333333
11216,BatchInference,2379,20,307,RegionA,102.33333333333333
11834,BatchInference,2386,19,352,RegionB,111.46666666666667
14419,AITraining,2379,104,386,RegionD,669.0666666666667
16274,BatchInference,2388,21,363,RegionA,127.05
16513,AITraining,2390,107,350,RegionE,624.1666666666666
20392,AITraining,2377,110,335,RegionF,614.1666666666666
21356,AITraining,2388,125,308,RegionF,641.6666666666666
22175,AITraining,2383,112,391,RegionE,729.8666666666667
23424,RealTimeInference,2379,5,397,RegionA,33.083333333333336
23936,AITraining,2389,127,230,RegionD,486.8333333333333
26377,BatchInference,2376,17,386,RegionB,109.36666666666666
27109,AITraining,2384,99,300,RegionF,495.0
27509,AITraining,2377,113,391,RegionF,736.3833333333333
29651,RealTimeInference,2382,7,284,RegionB,33.13333333333333
29758,RealTimeInference,2380,7,369,RegionC,43.05
31953,BatchInference,2387,19,309,RegionB,97.85
32420,BatchInference,2388,19,343,RegionD,108.61666666666666
33418,AITraining,2378,122,237,RegionE,481.9
33589,BatchInference,2387,22,287,RegionE,105.23333333333333
34531,RealTimeInference,2390,7,346,RegionB,40.36666666666667
36634,RealTimeInference,2385,7,305,RegionF,35.583333333333336
36680,AITraining,2387,118,359,RegionF,706.0333333333333
36902,BatchInference,2389,22,331,RegionE,121.36666666666666
37236,BatchInference,2378,21,288,RegionE,100.8
37312,BatchInference,2383,17,393,RegionB,111.35
38738,AITraining,2381,85,359,RegionE,508.5833333333333
40554,RealTimeInference,2386,5,372,RegionB,31.0
43240,RealTimeInference,2381,7,395,RegionA,46.083333333333336
45742,BatchInference,2385,20,382,RegionC,127.33333333333333
46424,AITraining,2390,120,364,RegionD,728.0
46875,BatchInference,2385,18,370,RegionB,111.0
47613,BatchInference,2380,22,320,RegionD,117.33333333333333
