Region,方案,Cost_CNY,Carbon_tCO2,PeakImport_MW,SigmaGrid_MW,MeanAbsRamp_MW,Eta_R,GridPurchase_MWh,GridSell_MWh,Curtailment_MWh,Throughput_MWh,Charge_MWh,Discharge_MWh,TerminalSOC_MWh,Stage1SCDHours,Stage2SCDHours,FacilityLoadStd_MW
RegionA,B0_附件基准,623022579.338745,581269.70007832,497.0016,96.79949584066992,24.183527472984206,0.0864215554579782,934071.2842999999,0.0,1758755.497899,48850.3504,26350.3504,22500.0,206.8041,0.0,,88.84933931480538
RegionA,E0_无储能调度,0.0,0.0,0.0,0.0,0.0,0.5696210638102172,0.0,0.0,828534.5664919007,0.0,0.0,0.0,157.5,0.0,0.0,88.84933931480538
RegionA,E1_BESS协同调度,0.0001,1.4285111411208644e-07,2.110060769750169e-07,4.299982463240488e-09,1.7539989773484363e-10,0.5696210638101075,2.110060769750169e-07,0.0,828534.5664921117,0.0,0.0,0.0,157.5,1.0,0.0,88.84933931480538
RegionB,B0_附件基准,572115791.714583,519698.55152123,467.856,88.8141416305529,22.072893599334996,0.10125782944122688,892863.0277,0.0,1730193.7742480002,43969.1713,23719.171299999998,20250.0,191.9613,0.0,,84.19406775694414
RegionB,E0_无储能调度,0.0,0.0,0.0,0.0,0.0,0.5632498785151715,0.0,0.0,840799.9140788519,0.0,0.0,0.0,144.0,0.0,0.0,84.19406775694414
RegionB,E1_BESS协同调度,0.0001,1.3549463333260168e-07,2.194955991132378e-07,4.472985993939576e-09,1.824568571182359e-10,0.5632498785150576,2.194955991132378e-07,0.0,840799.9140790715,0.0,0.0,0.0,144.0,2.0,0.0,84.19406775694414
RegionC,B0_附件基准,546362199.913111,483818.09682631004,455.2661,85.04352760142369,21.429360847880297,0.11942843365962885,876739.1804,0.0,1695213.031,41525.12210000001,22400.122099999997,19125.0,179.0746,0.0,,83.53087627447705
RegionC,E0_无储能调度,0.0,0.0,0.0,0.0,0.0,0.5731458131690312,0.0,0.0,821748.9725967804,0.0,0.0,0.0,135.0,0.0,0.0,83.53087627447705
RegionC,E1_BESS协同调度,0.0001,1.3333771727932312e-07,2.1919729948927032e-07,4.466907101946323e-09,1.822088940060435e-10,0.5731458131689173,2.1919729948927032e-07,0.0,821748.9725969996,0.0,0.0,0.0,135.0,2.0,0.0,83.53087627447705
RegionD,B0_附件基准,85926414.13027081,262960.6536425,282.5815,135.11283870285965,38.16797813798836,0.4705521955323844,619919.8008999999,427406.2663,1019254.8227860001,161309.7622,85979.7622,75330.0,225.9765,0.0,,107.44487673689146
RegionD,E0_无储能调度,-133039578.07071134,7.272821372680482e-07,0.0,30.319623975084088,8.748353672885411,0.7703169152334938,1.6657859305269085e-06,395221.70040593203,442169.35139135947,0.0,0.0,0.0,405.0,0.0,0.0,107.44487673689146
RegionD,E1_BESS协同调度,-142783279.1999,0.0,0.0,9.839541916834562e-09,4.0136318246047763e-10,0.7929191128809454,0.0,433259.99999951717,398657.2264825847,81550.42450402571,43512.12490877478,38038.299595250915,405.0,1.0,0.0,107.44487673689146
RegionE,B0_附件基准,-25892946.161557958,84555.5904512,166.06040000000002,116.22146799094789,31.32411712385702,0.609994945522741,377288.1043,479852.150018,750809.6857159999,142941.29229999997,76192.5981,66748.6942,217.2489,0.0,,104.40141228473496
RegionE,E0_无储能调度,-140473204.7282229,4.36373329671369e-07,0.0,42.14267690875589,11.41245012330299,0.7963118779972223,1.8696372308113496e-06,470691.9054352014,392125.719156251,0.0,0.0,0.0,370.0,0.0,0.0,104.40141228473496
RegionE,E1_BESS协同调度,-154169396.8905648,0.0,0.0,2.916851296467682,0.1775931673633874,0.831120788631469,0.0,529273.4554198701,325114.10855622997,125593.16058655945,67011.61060002104,58581.54998653839,370.0,0.0,0.0,104.40141228473496
RegionF,B0_附件基准,126098.95673499934,113064.8827644867,152.49719999999996,109.8217861917499,31.63748952618454,0.5840801682356653,433484.725967,467997.76604,800698.93634,148821.75569999998,79309.5521,69512.20360000001,189.1754,0.0,,106.37313100075227
RegionF,E0_无储能调度,-146307544.94007564,8.850563034636194,31.597867090000022,45.748863675104,12.214378062031736,0.8022537982707184,31.597868823709973,464354.16275866533,380686.7617074603,0.0,0.0,0.0,382.5,0.0,0.0,106.37313100075227
RegionF,E1_BESS协同调度,-162265114.9486047,0.0,0.0,2.719784429079211,0.22682815157048558,0.8407946679287855,0.0,529184.8039332374,306490.65207191254,139058.3486789434,74196.10963554765,64862.23904339576,382.5,0.0,0.0,106.37313100075227
System,B0_附件基准,1801660137.8918867,2045367.4752840467,1907.6381999999999,607.2039682952329,153.78127443890276,0.3286225213082708,4134366.123567,1375256.182358,7754925.747989001,587417.4539999999,313951.5562,273465.89780000004,1210.2408,0.0,,563.8960333120365
System,E0_无储能调度,-419820327.73900986,8.85056419829166,0.0,115.39141262060069,29.29024803958205,0.6791498911659758,31.597872359133135,1330267.768599799,3706065.2854226036,0.0,0.0,0.0,1594.0,0.0,0.0,563.8960333120365
System,E1_BESS协同调度,-459217791.0387695,4.1168346472401127e-07,0.0,4.982502334115692,0.4044213198753019,0.6951418874892138,6.496989755775249e-07,1491718.2593526246,3521345.44027891,346201.9337695286,184719.84514434348,161482.08862518508,1594.0,6.0,0.0,563.8960333120365
